Scientific name,Genus,Species,Latitude,Longitude,,,,,,
Cottus_carolinae,Cottus,carolinae,36.08403,-85.32825,,,,,,
Cottus_carolinae,Cottus,carolinae,35.4061,-85.3297,,,,,,
Cottus_carolinae,Cottus,carolinae,35.4061,-85.3297,,,,,,
Cottus_carolinae,Cottus,carolinae,34.10528,-85.33417,,,,,,
Cottus_carolinae,Cottus,carolinae,35.402,-85.3393,,,,,,
Cottus_carolinae,Cottus,carolinae,35.4017,-85.33933,,,,,,
Cottus_carolinae,Cottus,carolinae,36.8757,-85.3444,,,,,,
Cottus_carolinae,Cottus,carolinae,34.61861,-85.34695,,,,,,
Cottus_carolinae,Cottus,carolinae,34.80305,-85.34695,,,,,,
Cottus_carolinae,Cottus,carolinae,34.61861,-85.34695,,,,,,
Cottus_carolinae,Cottus,carolinae,36.0903,-85.3481,,,,,,
Cottus_carolinae,Cottus,carolinae,36.0903,-85.3481,,,,,,
Cottus_carolinae,Cottus,carolinae,35.3949,-85.3518,,,,,,
Cottus_carolinae,Cottus,carolinae,34.58472,-85.365,,,,,,
Cottus_carolinae,Cottus,carolinae,35.33139,-85.39194,,,,,,
Cottus_carolinae,Cottus,carolinae,35.7436,-85.3931,,,,,,
Cottus_carolinae,Cottus,carolinae,35.782917,-85.4039,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78292,-85.4039,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78323,-85.40477,,,,,,
Cottus_carolinae,Cottus,carolinae,35.783234,-85.40477,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78253,-85.40508,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78253,-85.40508,,,,,,
Cottus_carolinae,Cottus,carolinae,34.39944,-85.40889,,,,,,
Cottus_carolinae,Cottus,carolinae,33.76955,-85.42335,,,,,,
Cottus_carolinae,Cottus,carolinae,33.76955,-85.42335,,,,,,
Cottus_carolinae,Cottus,carolinae,35.8053,-85.4277,,,,,,
Cottus_carolinae,Cottus,carolinae,34.34528,-85.45611,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3964,-85.4694,,,,,,
Cottus_carolinae,Cottus,carolinae,33.84528,-85.46944,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1651,-85.4702,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1651,-85.4702,,,,,,
Cottus_carolinae,Cottus,carolinae,34.46333,-85.47639,,,,,,
Cottus_carolinae,Cottus,carolinae,33.3674,-85.4768,,,,,,
Cottus_carolinae,Cottus,carolinae,34.39667,-85.48055,,,,,,
Cottus_carolinae,Cottus,carolinae,34.39667,-85.48055,,,,,,
Cottus_carolinae,Cottus,carolinae,34.39667,-85.48055,,,,,,
Cottus_carolinae,Cottus,carolinae,34.39667,-85.48055,,,,,,
Cottus_carolinae,Cottus,carolinae,34.3825,-85.49834,,,,,,
